monthly_usage_hours,days_since_signup,num_support_tickets,avg_session_minutes,num_referrals,discount_pct_used,upgraded
10.0,300.0,0.0,37.2,2.0,10.5,0
15.6,174.0,1.0,20.1,2.0,0.0,1
29.0,133.0,0.0,9.1,2.0,0.0,0
32.1,182.0,4.0,27.5,1.0,0.0,1
29.5,234.0,1.0,20.7,1.0,7.7,1
26.5,135.0,1.0,23.3,2.0,26.7,0
46.6,237.0,3.0,23.5,0.0,4.6,0
36.6,322.0,2.0,26.3,0.0,5.7,1
21.5,174.0,0.0,20.0,2.0,0.0,0
28.1,135.0,1.0,17.5,2.0,6.9,1
60.3,263.0,0.0,37.9,0.0,0.0,0
21.2,151.0,0.0,10.2,2.0,13.5,0
41.5,252.0,2.0,15.5,1.0,25.8,0
38.2,91.0,1.0,25.7,2.0,0.0,0
38.7,141.0,4.0,27.1,1.0,17.2,1
39.8,92.0,2.0,30.9,1.0,10.9,0
37.1,190.0,3.0,22.1,1.0,0.0,1
40.6,299.0,0.0,26.3,1.0,0.0,0
54.5,1.0,3.0,21.1,1.0,0.0,0
55.4,173.0,4.0,26.9,0.0,17.2,1
61.6,1.0,4.0,17.6,1.0,0.0,0
56.5,213.0,3.0,15.2,0.0,15.0,0
75.0,288.0,0.0,7.0,0.0,0.0,0
43.8,17.0,2.0,17.8,1.0,0.0,0
31.6,179.0,0.0,18.2,1.0,0.0,0
28.0,164.0,0.0,24.4,2.0,1.6,0
15.1,184.0,0.0,5.2,2.0,8.0,0
38.7,258.0,1.0,19.9,1.0,5.7,0
19.1,289.0,0.0,12.3,2.0,9.8,1
55.5,256.0,0.0,22.4,0.0,0.0,0
45.3,213.0,3.0,9.3,1.0,22.4,0
29.2,152.0,1.0,32.4,2.0,24.2,0
49.2,205.0,0.0,26.9,1.0,6.1,0
25.7,135.0,0.0,22.6,2.0,5.1,0
48.6,1.0,1.0,6.8,1.0,0.0,0
42.1,247.0,0.0,20.1,1.0,4.9,1
40.0,131.0,5.0,24.9,1.0,8.4,1
19.1,151.0,0.0,20.2,2.0,26.7,0
50.4,209.0,0.0,10.3,0.0,0.3,0
12.7,128.0,0.0,13.8,3.0,0.0,1
30.5,83.0,0.0,21.5,2.0,0.0,0
55.0,185.0,1.0,22.4,0.0,0.0,0
49.9,286.0,0.0,20.5,0.0,0.0,0
19.9,192.0,0.0,17.5,2.0,23.8,0
47.8,333.0,0.0,13.6,0.0,2.8,1
10.9,212.0,0.0,19.3,3.0,14.9,0
41.9,229.0,6.0,3.9,0.0,0.0,1
65.4,243.0,0.0,12.0,0.0,0.0,0
44.8,371.0,2.0,9.6,0.0,10.8,1
36.0,234.0,4.0,21.8,1.0,21.6,0
42.8,278.0,2.0,28.1,0.0,10.8,0
23.6,171.0,0.0,18.0,2.0,0.8,0
46.1,66.0,1.0,11.9,1.0,0.0,0
44.5,342.0,0.0,33.0,0.0,0.0,0
41.7,226.0,0.0,8.8,1.0,0.0,0
35.0,279.0,0.0,23.7,1.0,2.1,1
46.7,212.0,2.0,27.1,1.0,11.7,0
2.2,118.0,0.0,22.0,3.0,0.0,1
35.7,222.0,0.0,6.0,1.0,0.0,0
53.8,244.0,2.0,19.2,0.0,21.0,0
52.0,162.0,4.0,22.5,0.0,16.6,1
50.2,187.0,1.0,22.1,1.0,10.5,0
28.7,132.0,0.0,26.4,2.0,8.4,0
38.2,259.0,4.0,21.3,1.0,22.5,0
38.9,57.0,2.0,28.2,2.0,7.8,0
19.4,176.0,0.0,24.7,2.0,5.4,0
45.8,374.0,6.0,14.4,0.0,0.0,1
52.8,209.0,4.0,35.6,0.0,19.8,0
38.5,154.0,3.0,29.1,1.0,20.4,0
27.0,112.0,1.0,29.5,2.0,19.7,0
33.1,76.0,3.0,19.0,2.0,21.3,1
36.2,208.0,0.0,15.3,1.0,0.0,0
21.1,113.0,0.0,12.4,3.0,23.9,0
58.0,86.0,2.0,20.9,1.0,41.5,1
25.4,96.0,0.0,20.2,2.0,21.8,0
47.0,229.0,1.0,17.6,0.0,8.4,0
36.9,1.0,3.0,21.0,2.0,34.0,1
67.1,167.0,0.0,13.5,0.0,0.0,0
51.9,260.0,0.0,19.2,0.0,0.0,0
33.3,245.0,1.0,23.2,1.0,1.3,1
39.1,200.0,2.0,28.7,1.0,3.7,0
31.1,106.0,1.0,26.7,2.0,19.5,0
57.2,102.0,3.0,16.7,1.0,29.8,1
21.9,167.0,0.0,22.3,2.0,24.6,0
72.7,247.0,5.0,35.5,0.0,20.7,1
18.2,201.0,0.0,32.3,2.0,18.9,0
31.1,62.0,0.0,29.3,2.0,0.0,1
48.4,1.0,1.0,18.4,2.0,59.5,1
47.4,172.0,4.0,19.7,1.0,18.2,1
28.9,45.0,2.0,10.8,2.0,28.9,1
51.5,81.0,3.0,21.8,1.0,28.5,1
33.7,89.0,4.0,12.9,2.0,19.1,1
32.2,219.0,2.0,32.1,1.0,10.5,0
35.5,116.0,1.0,22.8,2.0,0.0,0
50.1,222.0,1.0,10.5,0.0,0.0,0
22.8,149.0,0.0,34.4,2.0,8.5,0
38.3,51.0,3.0,14.6,2.0,26.7,1
25.1,175.0,1.0,16.8,2.0,20.3,0
24.1,149.0,0.0,20.9,2.0,7.6,0
21.2,174.0,1.0,12.0,2.0,41.7,0
19.3,127.0,0.0,18.0,3.0,24.8,0
43.0,302.0,1.0,27.0,0.0,14.8,0
72.2,276.0,0.0,29.1,0.0,22.1,0
38.1,98.0,1.0,5.1,1.0,0.0,0
55.0,15.0,2.0,35.8,1.0,50.0,1
45.2,193.0,4.0,15.0,1.0,27.8,0
45.0,199.0,4.0,14.8,0.0,18.3,1
58.7,1.0,3.0,20.3,1.0,0.0,0
21.2,234.0,3.0,4.0,2.0,13.2,0
63.2,267.0,0.0,22.9,0.0,0.0,0
50.1,234.0,6.0,28.7,0.0,1.8,1
54.2,404.0,1.0,13.7,0.0,9.1,1
51.9,183.0,4.0,20.1,0.0,23.5,0
57.9,261.0,0.0,25.3,0.0,0.0,0
37.8,198.0,1.0,20.3,1.0,0.3,0
57.5,254.0,0.0,15.5,0.0,1.8,0
49.3,278.0,0.0,29.9,0.0,0.0,0
15.0,170.0,0.0,30.4,3.0,12.4,0
51.3,168.0,5.0,33.5,0.0,14.7,1
53.7,194.0,1.0,36.5,0.0,5.8,0
20.4,203.0,0.0,25.4,2.0,0.0,0
35.3,239.0,0.0,24.1,1.0,17.3,1
60.9,243.0,0.0,24.3,0.0,2.0,0
48.7,194.0,4.0,16.2,0.0,12.9,1
34.7,58.0,1.0,27.4,2.0,9.7,0
50.3,282.0,0.0,10.6,0.0,0.0,0
26.6,141.0,1.0,8.6,2.0,21.7,0
59.1,323.0,0.0,20.7,0.0,0.0,0
48.8,269.0,6.0,23.4,0.0,0.0,1
68.1,249.0,0.0,18.0,0.0,0.0,0
37.1,75.0,4.0,18.3,1.0,17.9,1
42.2,410.0,4.0,14.1,0.0,2.9,1
25.0,174.0,0.0,32.0,2.0,0.0,0
21.4,179.0,0.0,21.3,2.0,0.0,0
37.7,225.0,3.0,13.1,1.0,14.6,0
50.5,202.0,0.0,22.6,0.0,0.0,0
59.7,274.0,0.0,10.2,0.0,0.0,0
46.4,113.0,1.0,20.4,1.0,0.0,0
38.8,65.0,0.0,26.1,2.0,0.0,0
80.9,252.0,0.0,19.0,0.0,7.6,0
37.1,306.0,0.0,15.1,1.0,0.0,0
